subject;label;lat;lon;date
http://www.wikidata.org/entity/Q1001093;Battle of Turckheim;48.08722222;7.28111111;5-1-1675
http://www.wikidata.org/entity/Q1001479;Battle of Cape Finisterre;42.8941;-9.27109;22-7-1805
http://www.wikidata.org/entity/Q1006470;Battle of Jinzhou;41.1144444444;121.1291666667;7-10-1948
http://www.wikidata.org/entity/Q1018947;Battle of the Badger Mouth;40.81078;114.88114;1-8-1211
http://www.wikidata.org/entity/Q1028247;Battle of Groix;47.63916667;-3.58666667;23-6-1795
http://www.wikidata.org/entity/Q1035922;Kassa attack;48.7166666667;21.25;26-6-1941
http://www.wikidata.org/entity/Q1037476;Battle of Tornow;53.0625;13.29083333;26-9-1758
http://www.wikidata.org/entity/Q1039366;Ofira Air Battle;27.91222222;34.32972222;6-10-1973
http://www.wikidata.org/entity/Q1042049;Battle of Jarnac;45.6813888889;-0.1758333333;13-3-1569
http://www.wikidata.org/entity/Q1047091;Battle of Rạch Gầm-Xoài Mút;10.33888889;106.325;20-1-1785
http://www.wikidata.org/entity/Q1049697;Battle of Płowce;52.6156;18.6439;27-9-1331
http://www.wikidata.org/entity/Q1051804;Battle of Reims;49.2628;4.03472;13-3-1814
http://www.wikidata.org/entity/Q1052651;Battle of Madagascar;-12.2666666667;49.2833333333;5-5-1942
http://www.wikidata.org/entity/Q1054868;Battle of Hondschoote;50.9802777778;2.5861111111;8-9-1793
http://www.wikidata.org/entity/Q1055755;Battle of Ilipa;37.5183333333;-5.9783333333;1-1--217
http://www.wikidata.org/entity/Q1059732;Battle of Wattignies;50.2014;4.01333;16-10-1793
http://www.wikidata.org/entity/Q1061048;Battle of Midtskogen;60.8767;11.4681;1-9-1939
http://www.wikidata.org/entity/Q1061090;Battle of Philippi;39.151827;-80.039687;3-6-1861
http://www.wikidata.org/entity/Q1061228;Battle of Puebla;19.05;-98.2077777778;5-5-2014
http://www.wikidata.org/entity/Q1061267;Battle of Rich Mountain;38.8661111111;-79.9338888889;11-7-1861
http://www.wikidata.org/entity/Q1062615;Battle of Auray;47.6686;-2.98139;29-9-1364
http://www.wikidata.org/entity/Q1063735;Second Battle of the Somme;50.2211111111;1.5666666667;21-8-1918
http://www.wikidata.org/entity/Q1066253;Siege of Vicksburg;32.3436;-90.8511;12-4-1861
http://www.wikidata.org/entity/Q10671371;Battle of Karstula;62.87694444;24.80222222;21-2-1808
http://www.wikidata.org/entity/Q10671375;;63.23333333;24.4;21-2-1808
http://www.wikidata.org/entity/Q10671415;;62.07194444;21.52527778;21-2-1808
http://www.wikidata.org/entity/Q1071578;Battle of Smolensk;54.78333333;32.05;17-8-1812
http://www.wikidata.org/entity/Q1073358;Battle of Vaslui;46.61666667;27.71666667;10-1-1475
http://www.wikidata.org/entity/Q1073849;Battle of Maipú;-33.50111111;-70.77194444;5-4-1818
http://www.wikidata.org/entity/Q1075269;Battle of Meissen;51.163612;13.4775;3-12-1759
http://www.wikidata.org/entity/Q1078359;Battle of Yamen;22.188;113.073;19-3-1279
http://www.wikidata.org/entity/Q1083718;Battle of Tarutino;55.17722222;37.00277778;24-6-1812
http://www.wikidata.org/entity/Q1085392;Battle of Neerwinden;50.7667;5.05;18-3-1793
http://www.wikidata.org/entity/Q1085401;Battle of Katzbach;51.2166666667;16.1666666667;26-8-1813
http://www.wikidata.org/entity/Q1088364;Battle of the Lys;50.70555556;2.9;7-4-1918
http://www.wikidata.org/entity/Q1093286;Battle of Mondovì;44.3833;7.81667;21-4-1796
http://www.wikidata.org/entity/Q1096151;Battle of Delville Wood;50.0278;2.8099;14-7-1916
http://www.wikidata.org/entity/Q1109794;battle of Desio;45.6166666667;9.2166666667;4-2-1277
http://www.wikidata.org/entity/Q1113659;Battle of Fulford;53.931;-1.07;2-10-1066
http://www.wikidata.org/entity/Q11154362;;49.2149674003;15.8816759353;21-5-1468
http://www.wikidata.org/entity/Q112016;Battle of the Persian Gate;30.7083333333;51.5986111111;15-1--329
